epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.289,1.7492,3.29558,1.20093,0.84639,0.0778,0.33784,0.17436,1.5615,3.2703,1.11167,0.000411255,0.000411255,0.000411255
2,700.495,1.70703,2.29129,1.17476,0.57439,0.41512,0.43102,0.22101,1.66676,2.27109,1.15405,0.000745958,0.000745958,0.000745958
3,1053.12,1.70725,2.04613,1.17386,0.60523,0.50441,0.52137,0.28548,1.60846,2.00215,1.16697,0.00099816,0.00099816,0.00099816
4,1445.95,1.66469,1.82745,1.1574,0.65789,0.50829,0.56485,0.29229,1.63285,1.73526,1.1468,0.00087875,0.00087875,0.00087875
5,1796.08,1.62375,1.69284,1.12578,0.71619,0.56979,0.60401,0.3315,1.50971,1.61004,1.10695,0.000755,0.000755,0.000755
6,2135.49,1.56187,1.55571,1.11063,0.69229,0.57771,0.63408,0.35483,1.47412,1.47655,1.08975,0.00063125,0.00063125,0.00063125
7,2473.62,1.49863,1.44048,1.08545,0.74413,0.62876,0.66316,0.39119,1.41554,1.41071,1.05469,0.0005075,0.0005075,0.0005075
8,2880.2,1.44925,1.36205,1.06026,0.77299,0.63917,0.69555,0.40677,1.37396,1.34045,1.04299,0.00038375,0.00038375,0.00038375
9,3301.62,1.42892,1.26388,1.04503,0.77444,0.65822,0.70309,0.42167,1.37384,1.28864,1.04471,0.00026,0.00026,0.00026
10,3615.84,1.39269,1.22073,1.0328,0.78208,0.67115,0.72033,0.43972,1.31657,1.24972,1.02187,0.00013625,0.00013625,0.00013625
